1;83;0.2948;0.3606
2;81;0.3841;0.4162
3;82;0.4182;0.4560
4;81;0.4504;0.4826
5;81;0.4812;0.5048
6;82;0.5025;0.5100
7;81;0.5282;0.5482
8;80;0.5467;0.5930
9;80;0.5600;0.5856
10;79;0.5724;0.6032
11;79;0.5834;0.6274
12;79;0.5990;0.6290
13;80;0.6024;0.6392
14;79;0.6164;0.6266
15;80;0.6266;0.6466
16;79;0.6357;0.6614
17;80;0.6415;0.6868
18;81;0.6469;0.6886
19;81;0.6585;0.6808
20;80;0.6649;0.7012
21;81;0.6722;0.7118
22;83;0.6833;0.7050
23;81;0.6875;0.7118
24;81;0.6946;0.7358
25;82;0.7067;0.7326
26;80;0.7135;0.7574
27;80;0.7233;0.7634
28;80;0.7291;0.7652
29;81;0.7359;0.7758
30;80;0.7453;0.7620
31;81;0.7531;0.7878
32;81;0.7596;0.7964
33;82;0.7681;0.8064
34;81;0.7774;0.8188
35;81;0.7871;0.8206
36;81;0.7912;0.8230
37;83;0.7985;0.8314
38;82;0.8072;0.8260
39;82;0.8135;0.8348
40;82;0.8223;0.8450
41;83;0.8266;0.8624
